target,feature_family,metric,score_mean,ci_lo,ci_hi,baseline,shuffled_control
displacement_dy,action_only,r2,0.19720539923808988,0.07783322959544332,0.33701213023903065,0.0,-0.024063744987076818
displacement_dy,gt_object_transition,r2,0.7826773780784875,0.7320720440578503,0.823769552839109,0.0,-0.031516066539202
displacement_dy,pixel_diff_8x8,r2,-1.5328149503811634,-11.730161971035898,0.1274490163263591,0.0,-16.130999246841263
displacement_dy,jepa_onehot,r2,-4.324101244809772,-7.313752028477267,-2.109005935310588,0.0,-2.969433715072756
displacement_dy,jepa_codebook_emb,r2,-0.416385493526379,-1.0578351729574222,-0.0795362126056334,0.0,-0.9636493105134336
displacement_dy,jepa_prequant,r2,-0.6029126661282203,-1.1733601095403474,-0.1535471418577764,0.0,-0.9321979539839998
direction_3cls,action_only,acc,0.6391499906369398,0.5894414414414415,0.7001561957653593,0.40221371623681024,0.4666315583702662
direction_3cls,gt_object_transition,acc,0.6951727816651623,0.6096033755274262,0.7920624151967436,0.40221371623681024,0.37460178994560744
direction_3cls,pixel_diff_8x8,acc,0.5759599024375606,0.4736036036036036,0.6470779220779221,0.40221371623681024,0.4285909312134141
direction_3cls,jepa_onehot,acc,0.55062346061128,0.4540623957290624,0.6385797101449275,0.40221371623681024,0.3918945646696554
direction_3cls,jepa_codebook_emb,acc,0.5738281744954917,0.493431406089634,0.6391884057971015,0.40221371623681024,0.3905539710074945
direction_3cls,jepa_prequant,acc,0.5764803794470926,0.4187854521187855,0.6726043694570626,0.40221371623681024,0.3877061235473658
magnitude_absdy,action_only,r2,0.009795812212676986,-0.06128630139615767,0.04814412762129653,0.0,-0.017131659900937086
magnitude_absdy,gt_object_transition,r2,-0.01946262697071078,-0.1064779229023382,0.038990224437548474,0.0,-0.04171821945558663
magnitude_absdy,pixel_diff_8x8,r2,0.5261333467741994,-1.427644734896367,0.8476138707365789,0.0,-1.0475308972797965
magnitude_absdy,jepa_onehot,r2,-3.4554969541501745,-4.749404731055663,-2.26178606849293,0.0,-2.5329455820333706
magnitude_absdy,jepa_codebook_emb,r2,-0.9272667082158202,-1.403081193626163,-0.538833078188269,0.0,-0.6600032191975376
magnitude_absdy,jepa_prequant,r2,-1.1254120826124836,-1.7487084056879174,-0.2843978338826949,0.0,-0.8789616448830394
residual_vs_free,action_only,r2,0.10244513535095866,0.003548001044920252,0.16070560397236017,0.0,-0.019058712361105574
residual_vs_free,gt_object_transition,r2,0.5052593661945283,0.44327268142215154,0.5635613843923664,0.0,-0.06291871583329732
residual_vs_free,pixel_diff_8x8,r2,-8.885164114161414,-80.57732646606777,-0.2561209957502038,0.0,-8.430391380650423
residual_vs_free,jepa_onehot,r2,-4.999098277937752,-8.462379584136077,-2.0901524715824626,0.0,-4.342649444303661
residual_vs_free,jepa_codebook_emb,r2,-0.6031970663958971,-1.3725140372671036,-0.10303094337699434,0.0,-0.804640508165898
residual_vs_free,jepa_prequant,r2,-0.8065864916360802,-1.6515530894427433,-0.2557553141259652,0.0,-1.296329828970055
