run,step,loss,s2p,p2p,commit,perplexity,lr,sec
M4_K64_res84,1,2.802435874938965,1.2584508657455444,1.4203031063079834,0.49472784996032715,1.0,0.0,1.9
M4_K64_res84,50,1.7857978343963623,0.9784360527992249,0.8013933897018433,0.02387334406375885,1.0,7.35e-06,4.5
M4_K64_res84,100,0.8532112836837769,0.5075673460960388,0.34190207719802856,0.014967396855354309,1.0,1.4849999999999998e-05,7.2
M4_K64_res84,150,0.5021160244941711,0.29638534784317017,0.20513518154621124,0.0023820456117391586,1.0,2.2349999999999998e-05,10.2
M4_K64_res84,200,0.33452367782592773,0.19901582598686218,0.1350216269493103,0.0019449159735813737,1.0,2.9849999999999997e-05,12.7
M4_K64_res84,1,2.802435874938965,1.2584508657455444,1.4203031063079834,0.49472784996032715,1.0,0.0,1.0
M4_K64_res84,50,1.7857873439788818,0.9784235954284668,0.8013952970504761,0.023873575031757355,1.0,7.35e-06,3.6
M4_K64_res84,100,0.8532050848007202,0.507563054561615,0.341900497674942,0.014965931884944439,1.0,1.4849999999999998e-05,6.2
M4_K64_res84,150,0.5021183490753174,0.2963871359825134,0.20513615012168884,0.0023804367519915104,1.0,2.2349999999999998e-05,8.7
M4_K64_res84,200,0.3345206379890442,0.1990143358707428,0.1350199282169342,0.0019455121364444494,1.0,2.9849999999999997e-05,11.2
M4_K64_res84,250,0.1918793022632599,0.11565505713224411,0.0761060118675232,0.00047287793131545186,14.531180381774902,3.734999999999999e-05,14.2
M4_K64_res84,300,0.0914493128657341,0.05686761811375618,0.03453763946890831,0.00017622625455260277,14.981141090393066,4.484999999999999e-05,16.9
M4_K64_res84,350,0.040105435997247696,0.024721523746848106,0.015346458181738853,0.00014981068670749664,10.270074844360352,5.234999999999999e-05,19.5
M4_K64_res84,400,0.01851881667971611,0.01055632159113884,0.007890056818723679,0.00028975025634281337,12.726766586303711,5.984999999999999e-05,22.0
M4_K64_res84,450,0.01181645318865776,0.006092642433941364,0.005642876029014587,0.00032373753492720425,10.693056106567383,6.735e-05,24.6
M4_K64_res84,500,0.007110726088285446,0.0035785746295005083,0.003506668610498309,0.00010193121124757454,19.643936157226562,7.485e-05,27.3
M4_K64_res84,550,0.00824118871241808,0.004332930780947208,0.003874561982229352,0.00013478315668180585,25.922422409057617,8.235e-05,30.3
M4_K64_res84,600,0.006987724453210831,0.0034321609418839216,0.003523224964737892,0.00012935390986967832,20.03179359436035,8.984999999999999e-05,32.9
M4_K64_res84,650,0.007279437500983477,0.003695692867040634,0.003534321440383792,0.0001976918283617124,23.341175079345703,9.735e-05,35.4
M4_K64_res84,700,0.005965651478618383,0.0029765390790998936,0.0029616709798574448,0.00010976477642543614,22.150094985961914,0.00010484999999999999,38.0
M4_K64_res84,750,0.006425075698643923,0.003257031785324216,0.00312349246814847,0.00017820490757003427,22.2674617767334,0.00011235,40.7
M4_K64_res84,800,0.006054281257092953,0.003132699290290475,0.0028857176657766104,0.00014345705858431756,20.988414764404297,0.00011984999999999999,43.7
M4_K64_res84,850,0.006456791423261166,0.003500043647363782,0.002930457703769207,0.00010516075417399406,19.611614227294922,0.00012734999999999998,46.2
M4_K64_res84,900,0.00394159322604537,0.001929268823005259,0.0019861627370119095,0.00010464728984516114,28.303024291992188,0.00013485,48.8
M4_K64_res84,950,0.0028594157192856073,0.0028273456264287233,0.0,0.00012828079343307763,17.199176788330078,0.00014234999999999996,51.3
M4_K64_res84,1000,0.003815264208242297,0.001765140681527555,0.0020122146233916283,0.00015163514763116837,16.983675003051758,0.00014984999999999998,54.0
M4_K64_res84,1050,0.0034831420052796602,0.0016928778495639563,0.001766508212313056,9.502396278548986e-05,26.748891830444336,0.00014999894336216446,57.0
M4_K64_res84,1100,0.004232173785567284,0.002166100312024355,0.0020439764484763145,8.838796929921955e-05,20.957921981811523,0.00014999568678364026,59.7
M4_K64_res84,1150,0.004049258306622505,0.0021102377213537693,0.001916197594255209,9.129212412517518e-05,17.78884506225586,0.0001499902299198881,62.3
M4_K64_res84,1200,0.004912743344902992,0.0026652831584215164,0.0022092757280915976,0.00015273707685992122,20.456762313842773,0.000149982572931006,64.9
M4_K64_res84,1250,0.0031100274063646793,0.001516586635261774,0.0015676531475037336,0.0001031500578392297,21.200532913208008,0.00014997271604164094,67.4
M4_K64_res84,1300,0.003100977512076497,0.0014560179552063346,0.0016055515734478831,0.0001576318172737956,27.329891204833984,0.00014996065954098252,70.2
M4_K64_res84,1350,0.0030234979931265116,0.0014507165178656578,0.0015545043861493468,7.310832006623968e-05,23.71499252319336,0.00014994640378275423,73.0
M4_K64_res84,1400,0.0038623884320259094,0.0021260229405015707,0.0017131644999608397,9.28043300518766e-05,23.16549301147461,0.0001499299491852033,75.6
M4_K64_res84,1450,0.0038630273193120956,0.0021058116108179092,0.0017274556448683143,0.00011904003622476012,21.182815551757812,0.00014991129623108824,78.3
M4_K64_res84,1500,0.002877399791032076,0.001399771892465651,0.001460991450585425,6.654558092122898e-05,18.298255920410156,0.00014989044546766475,80.9
M4_K64_res84,1550,0.004844412207603455,0.0027894238010048866,0.002009856980293989,0.0001805253268685192,19.436145782470703,0.00014986739750666976,83.9
M4_K64_res84,1600,0.003909837454557419,0.002068498870357871,0.0018001573625952005,0.00016472447896376252,19.796140670776367,0.00014984215302430332,86.7
M4_K64_res84,1650,0.003682217560708523,0.0020143191795796156,0.0016462013591080904,8.678810991114005e-05,29.513425827026367,0.0001498147127612088,89.4
M4_K64_res84,1700,0.002737114205956459,0.0013458321336656809,0.0013694310327991843,8.740487101022154e-05,24.778697967529297,0.00014978507752245126,92.1
