i,episode_seed,ei,k,a_prev,a_int,identifiable,stuck,dplayer_y_fac_cf,dvec_l2_fac_cf,dplayer_y_fac_oth,pix_meanabs_fac_cf,pix_meanabs_fac_oth,identical_fac_cf
215,1012,12,198,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.03755668934240363,False
216,1011,11,102,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
217,1007,7,236,0,2,True,0,5.0,5.0,2.0,0.07525510204081633,0.03755668934240363,False
218,1009,9,42,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
219,1004,4,114,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
220,1011,11,173,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
221,1001,1,155,0,2,True,0,1.5,1.5,1.5,0.03755668934240363,0.03755668934240363,False
222,1006,6,213,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
223,1000,0,212,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
224,1004,4,75,0,2,True,0,6.0,6.0,3.0,0.11267006802721088,0.03755668934240363,False
225,1008,8,130,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
226,1010,10,83,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
227,1001,1,95,0,2,True,0,6.0,6.0,3.0,0.11267006802721088,0.03755668934240363,False
228,1003,3,236,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
229,1001,1,152,0,3,True,0,2.0,2.0,0.5,0.03713151927437642,0.01870748299319728,False
230,1006,6,207,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
231,1010,10,155,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
232,1002,2,166,0,2,True,0,6.0,6.0,3.0,0.11267006802721088,0.07497165532879818,False
233,1005,5,139,0,2,True,0,6.0,6.0,3.0,0.11281179138321995,0.07511337868480726,False
234,1001,1,191,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
235,1009,9,181,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
236,1001,1,78,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
237,1001,1,51,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
238,1005,5,116,0,3,True,0,5.0,5.0,3.0,0.07497165532879818,0.037698412698412696,False
239,1005,5,144,0,3,True,0,5.0,5.0,3.0,0.07468820861678005,0.03755668934240363,False
240,1009,9,236,0,2,True,0,5.0,5.0,3.0,0.07468820861678005,0.03713151927437642,False
241,1006,6,76,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
242,1001,1,189,0,2,True,0,6.0,6.0,3.0,0.11224489795918367,0.03755668934240363,False
243,1002,2,161,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
244,1008,8,39,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
245,1011,11,229,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.037273242630385485,False
246,1000,0,107,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
247,1000,0,122,0,3,True,0,6.0,6.0,3.0,0.11267006802721088,0.07511337868480726,False
248,1008,8,232,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
249,1007,7,40,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
