i,valid_fac_cf,dplayer_y_fac_cf,pix_meanabs_fac_cf,token_hamming_fac_cf,collision_fac_cf,prequant_latent_dist_fac_cf,token_hamming_fac_other,collision_fac_other,cur_tokens,fac_tokens,cf_tokens
176,True,6.0,0.11295351473922903,4,False,14.192285537719727,4,False,59|59|59|59,60|60|60|60,24|31|31|24
177,True,6.0,0.11210317460317461,4,False,7.30440616607666,4,False,14|14|14|14,33|33|33|33,14|27|14|14
178,True,0.0,0.0,0,True,0.0,0,True,32|37|37|32,32|24|24|32,32|24|24|32
179,True,0.0,0.0,0,True,0.0,0,True,21|21|21|21,13|37|37|13,13|37|37|13
180,True,0.0,0.0,0,True,0.0,0,True,16|16|16|16,17|17|17|17,17|17|17|17
181,True,6.0,0.11224489795918367,4,False,9.465043067932129,4,False,19|19|19|19,35|35|35|35,14|14|14|14
182,True,6.0,0.11267006802721088,4,False,11.019176483154297,4,False,9|9|9|9,6|6|6|6,9|9|9|9
183,True,6.0,0.11210317460317461,4,False,9.98133373260498,4,False,40|40|40|40,1|1|1|1,27|27|27|27
184,True,0.0,0.0,0,True,0.0,0,True,1|1|1|1,19|19|19|19,19|19|19|19
185,True,6.0,0.11210317460317461,4,False,11.186519622802734,0,True,3|57|3|3,12|12|12|12,39|39|39|39
186,True,5.0,0.11295351473922903,4,False,12.087504386901855,4,False,5|5|5|5,60|9|9|60,24|42|42|24
187,True,0.0,0.0,0,True,0.0,0,True,49|49|49|49,49|49|49|49,49|49|49|49
188,True,6.0,0.11267006802721088,4,False,6.283791542053223,4,False,23|23|23|23,47|47|47|47,56|56|56|56
189,True,0.0,0.0,0,True,0.0,0,True,30|35|30|30,14|14|14|14,14|14|14|14
190,True,6.0,0.11210317460317461,4,False,12.154895782470703,4,False,40|40|40|40,1|29|1|1,19|19|19|19
191,True,0.0,0.0,0,True,0.0,0,True,29|29|29|29,14|14|14|14,14|14|14|14
192,True,0.0,0.0,0,True,0.0,0,True,11|62|11|11,5|58|5|5,5|58|5|5
193,True,6.0,0.11238662131519274,4,False,11.731285095214844,4,False,28|28|28|28,39|52|39|39,28|28|28|28
194,True,0.0,0.0,0,True,0.0,0,True,55|55|55|55,55|55|55|55,55|55|55|55
195,True,6.0,0.11281179138321995,4,False,11.649465560913086,3,False,33|33|33|33,1|29|1|1,33|56|33|33
196,True,6.0,0.11281179138321995,4,False,7.101213455200195,1,False,23|23|23|23,56|18|56|56,23|23|23|23
197,True,0.0,0.0,0,True,0.0,0,True,27|27|27|27,63|63|63|63,63|63|63|63
198,True,6.0,0.11267006802721088,4,False,10.917068481445312,4,False,24|61|62|24,31|31|31|31,54|9|9|54
199,True,0.0,0.0,0,True,0.0,0,True,54|20|20|54,39|24|24|39,39|24|24|39
200,True,0.0,0.0,0,True,0.0,0,True,62|62|62|62,62|62|62|62,62|62|62|62
201,True,0.0,0.0,0,True,0.0,0,True,16|16|16|16,63|63|63|63,63|63|63|63
202,True,0.0,0.0,0,True,0.0,0,True,1|31|24|1,32|31|31|32,32|31|31|32
203,True,0.0,0.0,0,True,0.0,0,True,39|52|39|39,25|25|25|25,25|25|25|25
204,True,0.0,0.0,0,True,0.0,0,True,3|36|3|3,3|3|3|3,3|3|3|3
205,True,0.0,0.0,0,True,0.0,0,True,19|19|19|19,19|19|19|19,19|19|19|19
206,True,5.0,0.07497165532879818,4,False,7.625631332397461,1,False,28|28|28|28,11|43|11|11,28|28|28|28
207,True,0.0,0.0,0,True,0.0,0,True,27|27|27|27,63|19|63|63,63|19|63|63
208,True,0.0,0.0,0,True,0.0,0,True,55|24|24|55,51|26|51|51,51|26|51|51
209,True,6.0,0.11267006802721088,4,False,6.982752799987793,4,False,3|3|3|3,12|12|12|12,3|3|3|3
210,True,0.0,0.0,0,True,0.0,0,True,3|3|3|3,12|12|12|12,12|12|12|12
211,True,5.0,0.11238662131519274,4,False,13.236618041992188,0,True,11|62|11|11,54|54|54|54,50|50|50|50
212,True,0.0,0.0,0,True,0.0,0,True,37|50|37|37,50|50|50|50,50|50|50|50
213,True,0.0,0.0,0,True,0.0,0,True,46|43|43|46,22|37|40|22,22|37|40|22
214,True,6.0,0.11224489795918367,4,False,11.2662353515625,4,False,35|35|35|35,14|27|14|14,36|36|36|36
215,True,6.0,0.11238662131519274,4,False,12.759864807128906,3,False,42|42|42|42,51|51|51|51,43|31|31|43
216,True,0.0,0.0,0,True,0.0,0,True,58|58|58|58,58|58|58|58,58|58|58|58
217,True,5.0,0.07525510204081633,3,False,10.742987632751465,4,False,7|7|7|7,43|43|43|43,11|43|11|11
218,True,0.0,0.0,0,True,0.0,0,True,33|33|33|33,40|40|40|40,40|40|40|40
219,True,0.0,0.0,0,True,0.0,0,True,57|57|57|57,56|18|56|56,56|18|56|56
220,True,0.0,0.0,0,True,0.0,0,True,37|37|37|37,40|37|40|40,40|37|40|40
221,True,1.5,0.03755668934240363,2,False,8.683585166931152,2,False,1|31|31|1,32|24|24|32,32|62|62|32
222,True,0.0,0.0,0,True,0.0,0,True,37|37|37|37,27|27|27|27,27|27|27|27
223,True,0.0,0.0,0,True,0.0,0,True,15|15|15|15,24|42|42|24,24|42|42|24
224,True,6.0,0.11267006802721088,4,False,8.212944030761719,4,False,13|13|13|13,19|19|19|19,13|37|37|13
225,True,0.0,0.0,0,True,0.0,0,True,1|1|1|1,29|29|29|29,29|29|29|29
226,True,0.0,0.0,0,True,0.0,0,True,47|47|47|47,10|10|10|10,10|10|10|10
227,True,6.0,0.11267006802721088,4,False,15.500445365905762,4,False,37|50|37|37,5|58|5|5,54|54|54|54
228,True,0.0,0.0,0,True,0.0,0,True,1|29|1|1,33|14|33|33,33|14|33|33
229,True,2.0,0.03713151927437642,4,False,9.485072135925293,4,False,62|52|9|62,1|31|31|1,62|20|20|62
230,True,0.0,0.0,0,True,0.0,0,True,24|61|61|24,24|61|61|24,24|61|61|24
231,True,0.0,0.0,0,True,0.0,0,True,1|1|1|1,33|33|33|33,33|33|33|33
232,True,6.0,0.11267006802721088,4,False,6.188015937805176,4,False,3|57|3|3,3|57|3|3,49|49|49|49
233,True,6.0,0.11281179138321995,4,False,12.93008804321289,4,False,13|13|13|13,27|27|27|27,21|20|20|21
234,True,0.0,0.0,0,True,0.0,0,True,56|10|56|56,57|57|57|57,57|57|57|57
235,True,0.0,0.0,0,True,0.0,0,True,16|16|16|16,17|17|17|17,17|17|17|17
236,True,0.0,0.0,0,True,0.0,0,True,49|49|49|49,12|12|12|12,12|12|12|12
237,True,0.0,0.0,0,True,0.0,0,True,16|39|39|16,16|39|39|16,16|39|39|16
238,True,5.0,0.07497165532879818,4,False,6.578884124755859,4,False,47|47|47|47,36|36|36|36,10|10|10|10
239,True,5.0,0.07468820861678005,4,False,9.141514778137207,4,False,14|27|14|14,19|19|19|19,36|36|36|36
240,True,5.0,0.07468820861678005,4,False,10.737621307373047,4,False,52|52|52|52,25|25|25|25,39|52|39|39
241,True,0.0,0.0,0,True,0.0,0,True,29|29|29|29,1|29|1|1,1|29|1|1
242,True,6.0,0.11224489795918367,4,False,9.451281547546387,4,False,33|33|33|33,35|35|35|35,14|14|14|14
243,True,0.0,0.0,0,True,0.0,0,True,3|36|3|3,3|57|3|3,3|57|3|3
244,True,0.0,0.0,0,True,0.0,0,True,1|1|1|1,1|1|1|1,1|1|1|1
245,True,6.0,0.11238662131519274,4,False,11.212956428527832,4,False,0|0|0|0,18|50|18|18,3|36|3|3
246,True,0.0,0.0,0,True,0.0,0,True,11|43|11|11,11|11|11|11,11|11|11|11
247,True,6.0,0.11267006802721088,4,False,10.289959907531738,2,False,8|8|8|8,55|47|55|55,33|10|33|33
248,True,0.0,0.0,0,True,0.0,0,True,32|62|62|32,32|62|62|32,32|62|62|32
249,True,0.0,0.0,0,True,0.0,0,True,33|14|33|33,33|33|33|33,33|33|33|33
